source,translation,context
API Key is not configured.,La clé API n'est pas configurée.,
API URL not configured on platform '{0}'.,URL API non configurée sur la plateforme '{0}'.,
Access token deleted.,Jeton d'accès supprimé.,
Access token successfully generated.,Jeton d'accès généré avec succès.,
Already Converted,Déjà converti,
At least one API URL (production or test) must be configured.,Au moins une URL API (production ou test) doit être configurée.,
Auth Payload Map must be valid JSON.,Le Auth Payload Map doit être un JSON valide.,
Authentication Error,Erreur d'authentification,
Configuration Error,Erreur de configuration,
Enable Automatic Synchronisation (every 30 min),Synchronisation automatique (toutes les 30 min),
Expected binary PDF content for flow {0}.,Contenu PDF binaire attendu pour le flux {0}.,
Failed to download flow {0} (HTTP {1}).,Échec du téléchargement du flux {0} (HTTP {1}).,
Failed to reach platform (HTTP {0}).,Impossible d'atteindre la plateforme (HTTP {0}).,
Failed to retrieve flows (HTTP {0}).,Échec de récupération des flux (HTTP {0}).,
Invalid Configuration,Configuration invalide,
Live Mode (Production),Mode production,
Missing Configuration,Configuration manquante,
No Approved Platform configured in eInvoicing Settings.,Aucune plateforme agréée configurée dans les paramètres eInvoicing.,
No access_token in response from '{0}'.,Pas d'access_token dans la réponse de '{0}'.,
No flows to synchronize.,Aucun flux à synchroniser.,
No {0} API URL configured on platform '{1}'.,Aucune URL API {0} configurée sur la plateforme '{1}'.,
Not Implemented,Non implémenté,
Not Ready,Non prêt,
Platform '{0}' is disabled.,La plateforme '{0}' est désactivée.,
Platform '{0}' is reachable.,La plateforme '{0}' est joignable.,
Platform '{0}' returned HTTP {1}.,La plateforme '{0}' a retourné HTTP {1}.,
Standard (Fixture),Standard (Fixture),
Supplier and all items must be matched before conversion.,Le fournisseur et tous les articles doivent être associés avant la conversion.,
This ePurchase Invoice has already been converted.,Cette eFacture d'achat a déjà été convertie.,
Token URL not configured on platform '{0}'.,URL de jeton non configurée sur la plateforme '{0}'.,
Unsupported provider type: '{0}'.,Type de fournisseur non supporté : '{0}'.,
"{0} synced\, {1} skipped\, {2} errors out of {3} flows.","{0} synchronisé(s)\, {1} ignoré(s)\, {2} erreur(s) sur {3} flux.",
send_sample_invoice is not yet implemented for platform '{0}'.,send_sample_invoice n'est pas encore implémenté pour la plateforme '{0}'.,
Approved Platform,Plateforme agréée,
Approved Platforms,Plateformes agréées,
Auth Payload Map (JSON),Modèle de payload d'authentification (JSON),
"Maps token request fields to eInvoicing Settings fields. e.g. {""client_id"": ""username""}","Map les champs de la demande de token...",
Auth Type,Type d'authentification,
API Key Header Name,Nom de l'API Key du header,
"HTTP header name for the API key, e.g. hubtimize-api-key","Nom de l'API key dans l'en-tête HTTP ex. hubtimize-api-key",
Factur-X Profile,Profil Factur-X,
Flow ID,Identifiant flux,
Invoice Date,Date de facture,
Invoice Details,Détails de la facture,
Linked Document,Document lié,
Match Status,Statut d'association,
Matched Item,Article associé,
Matched Supplier,Fournisseur associé,
Platform,Plateforme,
Platform Name,Nom de la plateforme,
Provider Type,Type de fournisseur,
Purchase Flow,Flux d'achat,
Raw Data,Données brutes,
Supplier Match,Association fournisseur,
Supplier Name (Invoice),Nom du fournisseur (facture),
Sync Date,Date de synchronisation,
Sync Type,Type de synchronisation,
Token Expires At,Expiration du jeton,
Total (excl. VAT),Total HT,
Total (incl. VAT),Total TTC,
Total VAT,Total TVA,
Authentication failed on '{0}': HTTP {1}.,Échec d'authentification sur '{0}' : HTTP {1}.,
Cannot reach '{0}'. Check the URL and network connectivity.,Impossible de joindre '{0}'. Vérifiez l'URL et la connectivité réseau.,
Connection Error,Erreur de connexion,
Connection to '{0}' timed out.,La connexion à '{0}' a expiré.,
Timeout,Délai d'attente dépassé,
No SIRET on this invoice.,Aucun SIRET sur cette facture.,
SIRENE API error: {0}.,Erreur API SIRENE : {0}.,
No company found for SIRET {0}.,Aucune entreprise trouvée pour le SIRET {0}.,
Supplier created: {0},Fournisseur créé : {0},
Item created: {0},Article créé : {0},
Purchase Invoice {0} created,Facture d'achat {0} créée,
Convert {0} to a Purchase Invoice draft?,Convertir {0} en brouillon de facture d'achat ?,
Match Supplier,Associer un fournisseur,
Match Item: {0},Associer un article : {0},
Create Item,Créer un article,
Select Supplier,Sélectionner un fournisseur,
Select Item,Sélectionner un article,
Item Name,Nom de l'article,
Item Group,Groupe d'article,
Purchase Order Required,Bon de commande requis,
Purchase Receipt Required,Bon de livraison requis,
Link PO,Lier un BC,
Link Receipt,Lier un BL,
Link Purchase Order,Lier un bon de commande,
Link Purchase Receipt,Lier un bon de livraison,
Purchase Order required,Bon de commande requis,
Purchase Receipt required,Bon de livraison requis,
Are you sure you want to unlink supplier?,Voulez-vous vraiment dissocier ce fournisseur ?,
Are you sure you want to unlink item?,Voulez-vous vraiment dissocier cet article ?,
Sync complete,Synchronisation terminée,
No invoices to display,Aucune facture à afficher,
Convert to Purchase Invoice,Convertir en facture d'achat,
All,Tous,
Pending,En attente,
Ready,Prêt,
Converted,Converti,
Supplier,Fournisseur,
Items,Articles,
Sync,Synchroniser,
Looking up SIRET...,Recherche du SIRET...,
Converting...,Conversion en cours...,
Synchronizing...,Synchronisation en cours...,
eInvoicing Inbox,Boîte de réception eFacturation,
Client ID,Identifiant client,
Client Secret,Secret client,
API Key,Clé API,
Extraction Error,Erreur d'extraction,
Invalid XML,XML invalide,
Unsupported Format,Format non supporté,
UBL format is not yet supported for incoming invoices.,Le format UBL n'est pas encore supporté pour les factures entrantes.,
No XML data found in PDF.,Aucune donnée XML trouvée dans le PDF.,
Failed to extract XML from PDF: {0},Échec de l'extraction du XML depuis le PDF : {0},
Unsupported XML format. Only Factur-X/CII and UBL 2.x are accepted.,Format XML non supporté. Seuls Factur-X/CII et UBL 2.x sont acceptés.,
eInvoicing Settings,Paramètres eFacturation,
eInvoicing Flow,Flux eFacturation,
eInvoicing Sync Log,Journal de synchronisation eFacturation,
ePurchase Invoice,eFacture d'achat,
ePurchase Invoice Item,Ligne eFacture d'achat,
Defaults,Valeurs par défaut,
Default Supplier Group,Groupe fournisseur par défaut,
Default Item Group,Groupe article par défaut,
Invoice Profile,Profil de Facture,
Healthcheck,Test de connexion,
Recreate Access Token,Régénérer le jeton d'accès,
Delete Access Token,Supprimer le jeton d'accès,
Send Sample Invoice,Envoyer une facture d'exemple,
Flow Type,Type de flux,
In,Entrant,
Out,Sortant,
Tracking,Suivi,
Flow Counts,Détails du flux,
Synced,Synchronisés,
Acknowledgement Status,État de l'accusé de réception,
Tracking ID,N° de suivi,
Submitted At,Créé le,
Updated At,Mis à jour le,
Document Type,Type de document,
eInvoice Source,Source eFacture,
error,erreur,
partial,partiel,
VAT Number,N° TVA,
Currency,Devise,
Address (Invoice),Adresse (facturation),
Due Date,Date d'échéance,
Supplier Invoice No.,N° de facture fournisseur,
matched,correspondance trouvée,
unmatched,aucune correspondance,
created,créé,
pending,en attente,
ready,prêt,
converted,converti,
Match,Associer,
eThirdParty,eTiers,
Party Type,Type de tiers,
Official Name,Nom officiel,
Official Data,Données officielles,
ZIP Code,Code postal,
City,Ville,
Country Code,Code pays,
Categorie Comptable Tiers,Catégorie comptable tiers,
Matched Party,Tiers associé,
Matched Party Type,Type de tiers associé,
Raw SIRENE Data,Données brutes SIRENE,
SIRENE Status,Statut SIRENE,
SIRENE Raw (JSON),Données SIRENE brutes (JSON),
not_found,non trouvé,
warning,avertissement,
ok,ok,
Confirm Supplier Data,Confirmer les données fournisseur,
Official Name,Nom officiel,
Address,Adresse,
ZIP,Code postal,
Country Code,Code pays,
Supplier Group,Groupe fournisseur,
Supplier data saved,Données fournisseur enregistrées,
No company found for this SIRET,Aucune entreprise trouvée pour ce SIRET,
Warning: some fields need your attention: {0},Attention : certains champs nécessitent votre vérification : {0},
Are you sure you want to unlink this eThirdParty?,Voulez-vous vraiment dissocier ce eTiers ?,
Click to review,Cliquer pour réviser,
No eThirdParty linked to this invoice.,Aucun eTiers lié à cette facture.,
No SIRET on this eThirdParty.,Aucun SIRET sur ce eTiers.,
ethirdparty,eTiers,
Apply this supplier to {0} other invoice(s) with the same SIRET?,Appliquer ce fournisseur à {0} autre(s) facture(s) avec le même SIRET ?,
Apply this item to {0} other line(s) with the same supplier reference?,Appliquer cet article à {0} autre(s) ligne(s) avec la même référence fournisseur ?,
Unlink this supplier from {0} other invoice(s) with the same SIRET?,Dissocier ce fournisseur de {0} autre(s) facture(s) avec le même SIRET ?,
Unlink this eThirdParty from {0} other invoice(s) with the same SIRET?,Dissocier ce eTiers de {0} autre(s) facture(s) avec le même SIRET ?,
Unlink this item from {0} other line(s) with the same supplier reference?,Dissocier cet article de {0} autre(s) ligne(s) avec la même référence fournisseur ?,
Reset,Réinitialiser,
Delete the linked Purchase Invoice draft and reset this invoice?,Supprimer le brouillon de facture d'achat lié et réinitialiser cette facture ?,
Conversion cancelled,Conversion annulée,
No Purchase Invoice linked.,Aucune facture d'achat liée.,
Purchase Invoice is already submitted. Cancel it manually first.,La facture d'achat est déjà soumise. Annulez-la manuellement d'abord.,
Items re-matched,Articles réassociés,
No new items matched,Aucun nouvel article associé,
No supplier found,Aucun fournisseur trouvé,
Supplier matched: {0},Fournisseur associé : {0},
Check,Vérifier,
Re-match All,Réassocier tout,
{0} item(s) matched,{0} article(s) associé(s),
ePurchase Invoice {0} has been reset to ready.,L'eFacture d'achat {0} a été réinitialisée.,
eInvoicing UOM Mapping,Correspondance UdM eFacturation,
eInvoicing Tax Mapping,Correspondance TVA eFacturation,
UN/CEFACT Code,Code UN/CEFACT,
Tax Rate (%),Taux de TVA (%),
Purchase Taxes Template,Modèle de taxes d'achat,
No Supplier or eThirdParty linked to this ePurchase Invoice.,Aucun fournisseur ou eTiers lié à cette eFacture d'achat.,
Missing Supplier,Fournisseur manquant,
